resp_ind,industry,product_id,channel,reason_id
0,IT,THR1E,SEO,1
0,Community (Medical),OBSB30415-OBSB31115,SEMG,1
0,Education,OCHC50113,SEMG,1
0,Education (Strategic TESOL),TC4,SEMG,1
0,Business and Accounting,51107-MGMTDEFH,DIRECT,1
0,Not assigned,#,DIRECT,1
0,IT,CTSER,SKLM,1
0,Education,OCHC30113,SEO,1
0,Arts (Arts team),CDPPTDEU,SEO,1
0,Community (Medical),OHLT32912,SKNV,1
0,Property,KNSWCR,DIRECT,1
0,Education,OCHC30113,SKLM,1
0,Not assigned,#,SEO,1
0,Fitness,DSDFT,EDM,1
0,Education (Strategic HR),OTAE40110,SEMG,1
0,Design,DIDDFT,SKLM,1
0,Community Work,OCHC40512,SKLM,1
0,Community Work (Medical),OCHC30212,SKLM,1
0,Education (Strategic TESOL),TC4,SEMG,1
0,Community (Medical),OHLT52012,DIRECT,1
0,Education,GD-TEAPRI2,SEO,1
0,IT,CERPSCM,DIRECT,1
0,Construction,OCPC40110,SEMG,1
1,Education (Strategic TESOL),#,SEO,1
0,Not assigned,#,SKLM,1
0,Construction,OCPP50911,SEO,1
0,Events+Hospitality,WB11ADBTM01FNSU,SKLM,1
0,Admin,OBSB50415,DIRECT,1
0,Design,DGDFT,NON-CORE,1
0,Education (Strategic TESOL),TAD,SEMB,1
0,Business and Accounting,OFNS40211,SKLM,1
0,Natural Health,ADNMFT,EDM,1
0,Community Work (Medical),OCHC30212,SEO,1
0,Not assigned,#,SKNV,1
0,Law,#,DIRECT,1
0,Admin,SLBSB50415,SEO,1
0,HR,OBSB51915-DP-OBSB50615-DP,SEMG,1
0,Construction,OCPP50911,SKLM,1
0,Community Work,OCHC50612,DSPP,1
0,Community (Medical),OBSB31115,SEMM,1
0,Arts (Arts team),CDPPTDEU,SEO,1
0,Business (Strategic HR),CERTIVFMB,SEO,1
0,Education (Strategic HR),OTAE40110,SKLM,1
0,Business (Property),OAHC50610,SKLM,1
0,Community Work (Medical),OCHC30212,SEO,1
0,Not assigned,#,SKLM,1
0,Counselling,DOCO,SK_OTHER,1
1,Arts (Arts team),CDPPTDEU,SKNV,1
0,Events & Hospitality (Strategic TESOL),OSIT50112,SKNV,1
0,Community Work (Medical),OCHC30212,SEO,1
0,Business and Accounting,OFNS60215,SEMG,1
0,Not assigned,#,SKNV,1
0,IT,OBSB51413,SKLM,1
0,Business (Property),OAHC50410,SKLM,1
0,Counselling,DOCO,SEMB,1
0,Business and Accounting,OFNS30311,SEO,1
0,Counselling,DOCO,SEMG,1
0,Admin,OBSB50415,SEMG,1
0,Education,OCHC50113,SKLM,1
0,Counselling,GDC,SEO,1
0,Education (Strategic TESOL),TPD,SK_OTHER,1
0,Education (Strategic TESOL),TPD,DIRECT,1
0,Education,MA-TEAPRI2,DSPP,1
0,Community Work (Medical),OCHC30312,DIRECT,1
1,Construction,OCPC50210,SKLM,1
0,IT,TBW4E,SEO,1
0,Business and Accounting,SLBSB50215,SEMG,1
0,Business (Strategic HR),CERTIVFMB,SKLM,1
0,Business and Accounting,062172DPU,SEMG,1
0,Finance,DFSFP4-1,SEO,1
0,IT,TFIN5E,SKLM,1
0,Community (Medical),OBSB31115,SKLM,1
0,IT,OCPJSE7P,SKLM,1
0,Education (Strategic TESOL),TC4,SKLM,1
0,Business and Accounting,OFNS30311,SKLM,1
0,Property,KNSWCR,NON-CORE,1
0,Counselling,AMCP,SEMG,1
0,Law (Community),BA-SSCCRI,SEO,1
